Date,Type,Ticker Symbol,Volume,Total OI
12/21/2017,P,FB,51450,1055949
12/22/2017,,FB,138603,2601937
12/22/2017,C,FB,91542,1533707
12/22/2017,P,FB,47061,1068230
12/26/2017,,FB,155299,2522405
12/26/2017,C,FB,85714,1496438
12/26/2017,P,FB,69585,1025967
12/27/2017,,FB,148472,2550994
12/27/2017,C,FB,96852,1506302
12/27/2017,P,FB,51620,1044692
12/28/2017,,FB,138101,2588536
12/28/2017,C,FB,87271,1535499
12/28/2017,P,FB,50830,1053037
12/29/2017,,FB,161860,2608957
12/29/2017,C,FB,112839,1545724
12/29/2017,P,FB,49021,1063233
1/2/2018,,FB,259807,2540443
1/2/2018,C,FB,177804,1509527
1/2/2018,P,FB,82003,1030916
1/3/2018,,FB,322496,2596801
1/3/2018,C,FB,232043,1547040
1/3/2018,P,FB,90453,1049761
1/4/2018,,FB,227181,2678709
1/4/2018,C,FB,136919,1607817
1/4/2018,P,FB,90262,1070892
1/5/2018,,FB,240191,2694242
1/5/2018,C,FB,147106,1608248
1/5/2018,P,FB,93085,1085994
1/8/2018,,FB,414441,2648268
1/8/2018,C,FB,256433,1582397
1/8/2018,P,FB,158008,1065871
1/9/2018,,FB,135896,2731497
1/9/2018,C,FB,87724,1625830
1/9/2018,P,FB,48172,1105667
1/10/2018,,FB,159161,2758082
1/10/2018,C,FB,90791,1638418
1/10/2018,P,FB,68370,1119664
1/11/2018,,FB,126389,2791264
1/11/2018,C,FB,78543,1649826
1/11/2018,P,FB,47846,1141438
1/12/2018,,FB,946702,2825630
1/12/2018,C,FB,626277,1670640
1/12/2018,P,FB,320425,1154990
1/16/2018,,FB,382753,3022853
1/16/2018,C,FB,246181,1808201
1/16/2018,P,FB,136572,1214652
1/17/2018,,FB,397055,3136403
1/17/2018,C,FB,262872,1876568
1/17/2018,P,FB,134183,1259835
1/18/2018,,FB,338321,3244177
1/18/2018,C,FB,233063,1943287
1/18/2018,P,FB,105258,1300890
1/19/2018,,FB,389478,3302177
1/19/2018,C,FB,259168,1979924
1/19/2018,P,FB,130310,1322253
1/22/2018,,FB,308801,1975995
1/22/2018,C,FB,216212,1206887
1/22/2018,P,FB,92589,769108
1/23/2018,,FB,417583,2018396
1/23/2018,C,FB,286608,1223093
1/23/2018,P,FB,130975,795303
1/24/2018,,FB,357408,2073498
1/24/2018,C,FB,234884,1243926
1/24/2018,P,FB,122524,829572
1/25/2018,,FB,236210,2135282
1/25/2018,C,FB,168637,1271954
1/25/2018,P,FB,67573,863328
1/26/2018,,FB,261185,2182062
1/26/2018,C,FB,193596,1305853
1/26/2018,P,FB,67589,876209
1/29/2018,,FB,229759,2031148
1/29/2018,C,FB,144915,1202344
1/29/2018,P,FB,84844,828804
1/30/2018,,FB,210102,2094232
1/30/2018,C,FB,135773,1228173
1/30/2018,P,FB,74329,866059
1/31/2018,,FB,514811,2150135
1/31/2018,C,FB,354598,1250738
1/31/2018,P,FB,160213,899397
2/1/2018,,FB,797822,2301876
2/1/2018,C,FB,496441,1337400
2/1/2018,P,FB,301381,964476
2/2/2018,,FB,424906,2356010
2/2/2018,C,FB,257159,1369432
2/2/2018,P,FB,167747,986578
2/5/2018,,FB,357233,2136827
2/5/2018,C,FB,224611,1235308
2/5/2018,P,FB,132622,901519
2/6/2018,,FB,323970,2202420
2/6/2018,C,FB,206223,1269964
2/6/2018,P,FB,117747,932456
2/7/2018,,FB,294832,2264010
2/7/2018,C,FB,211300,1299930
2/7/2018,P,FB,83532,964080
2/8/2018,,FB,340746,2346135
2/8/2018,C,FB,209221,1368088
2/8/2018,P,FB,131525,978047
2/9/2018,,FB,407895,2405420
2/9/2018,C,FB,250145,1406075
2/9/2018,P,FB,157750,999345
2/12/2018,,FB,306420,2315724
2/12/2018,C,FB,187348,1351596
2/12/2018,P,FB,119072,964128
2/13/2018,,FB,323851,2415125
2/13/2018,C,FB,169903,1407070
2/13/2018,P,FB,153948,1008055
2/14/2018,,FB,416376,2546808
2/14/2018,C,FB,290815,1466504
2/14/2018,P,FB,125561,1080304
2/15/2018,,FB,352889,2605035
2/15/2018,C,FB,218373,1501234
2/15/2018,P,FB,134516,1103801
2/16/2018,,FB,321953,2693158
2/16/2018,C,FB,210635,1553678
2/16/2018,P,FB,111318,1139480
2/20/2018,,FB,237698,2176670
2/20/2018,C,FB,152805,1273059
2/20/2018,P,FB,84893,903611
2/21/2018,,FB,300283,2255869
2/21/2018,C,FB,201128,1319548
2/21/2018,P,FB,99155,936321
2/22/2018,,FB,228717,2302116
2/22/2018,C,FB,153282,1350866
2/22/2018,P,FB,75435,951250
2/23/2018,,FB,316419,2336692
2/23/2018,C,FB,207794,1368028
2/23/2018,P,FB,108625,968664
2/26/2018,,FB,228323,2243901
2/26/2018,C,FB,154126,1327060
2/26/2018,P,FB,74197,916841
2/27/2018,,FB,216835,2278634
2/27/2018,C,FB,131841,1341623
2/27/2018,P,FB,84994,937011
2/28/2018,,FB,169301,2313813
2/28/2018,C,FB,90941,1357617
2/28/2018,P,FB,78360,956196
3/1/2018,,FB,298038,2343611
3/1/2018,C,FB,155710,1372495
3/1/2018,P,FB,142328,971116
3/2/2018,,FB,270031,2403362
3/2/2018,C,FB,139781,1399130
3/2/2018,P,FB,130250,1004232
3/5/2018,,FB,215215,2348607
3/5/2018,C,FB,138583,1353782
3/5/2018,P,FB,76632,994825
3/6/2018,,FB,198185,2387353
3/6/2018,C,FB,134177,1372395
3/6/2018,P,FB,64008,1014958
3/7/2018,,FB,264193,2419462
3/7/2018,C,FB,175829,1394291
3/7/2018,P,FB,88364,1025171
3/8/2018,,FB,186684,2454187
3/8/2018,C,FB,122856,1412223
3/8/2018,P,FB,63828,1041964
3/9/2018,,FB,286051,2488322
3/9/2018,C,FB,201398,1439251
3/9/2018,P,FB,84653,1049071
3/12/2018,,FB,157638,2426664
3/12/2018,C,FB,95510,1410738
3/12/2018,P,FB,62128,1015926
3/13/2018,,FB,279076,2462134
3/13/2018,C,FB,159690,1424186
3/13/2018,P,FB,119386,1037948
3/14/2018,,FB,192557,2486451
3/14/2018,C,FB,98744,1427140
3/14/2018,P,FB,93813,1059311
3/15/2018,,FB,178935,2564419
3/15/2018,C,FB,90022,1456120
3/15/2018,P,FB,88913,1108299
3/16/2018,,FB,249668,2581416
3/16/2018,C,FB,140782,1463771
3/16/2018,P,FB,108886,1117645
3/19/2018,,FB,927164,1971858
3/19/2018,C,FB,552467,1183896
3/19/2018,P,FB,374697,787962
3/20/2018,,FB,1315467,2318620
3/20/2018,C,FB,729696,1369824
3/20/2018,P,FB,585771,948796
3/21/2018,,FB,990644,2695319
3/21/2018,C,FB,608250,1565138
3/21/2018,P,FB,382394,1130181
3/22/2018,,FB,702287,2922159
3/22/2018,C,FB,397886,1709040
3/22/2018,P,FB,304401,1213119
3/23/2018,,FB,638708,3068210
3/23/2018,C,FB,353192,1803783
3/23/2018,P,FB,285516,1264427
3/26/2018,,FB,1261261,2910051
3/26/2018,C,FB,699279,1701335
3/26/2018,P,FB,561982,1208716
3/27/2018,,FB,779426,3223137
3/27/2018,C,FB,429798,1874396
3/27/2018,P,FB,349628,1348741
3/28/2018,,FB,502032,3361040
3/28/2018,C,FB,286401,1954905
3/28/2018,P,FB,215631,1406135
3/29/2018,,FB,693803,3419230
3/29/2018,C,FB,400641,1980808
3/29/2018,P,FB,293162,1438422
4/2/2018,,FB,287076,3216336
4/2/2018,C,FB,169557,1821287
4/2/2018,P,FB,117519,1395049
4/3/2018,,FB,391319,3263036
4/3/2018,C,FB,235669,1847833
4/3/2018,P,FB,155650,1415203
4/4/2018,,FB,543642,3308665
4/4/2018,C,FB,336657,1878261
4/4/2018,P,FB,206985,1430404
4/5/2018,,FB,472979,3397136
4/5/2018,C,FB,273302,1918421
4/5/2018,P,FB,199677,1478715
4/6/2018,,FB,452061,3460505
4/6/2018,C,FB,276836,1946676
4/6/2018,P,FB,175225,1513829
4/9/2018,,FB,320080,3291244
4/9/2018,C,FB,173181,1856497
4/9/2018,P,FB,146899,1434747
4/10/2018,,FB,606351,3400209
4/10/2018,C,FB,317642,1909755
4/10/2018,P,FB,288709,1490454
4/11/2018,,FB,579207,3497364
4/11/2018,C,FB,353539,1940046
4/11/2018,P,FB,225668,1557318
4/12/2018,,FB,455449,3538453
4/12/2018,C,FB,269518,1961042
4/12/2018,P,FB,185931,1577411
4/13/2018,,FB,302253,3566356
4/13/2018,C,FB,180236,1975872
4/13/2018,P,FB,122017,1590484
4/16/2018,,FB,185822,3362794
4/16/2018,C,FB,112326,1874623
4/16/2018,P,FB,73496,1488171
4/17/2018,,FB,293747,3390620
4/17/2018,C,FB,168698,1893443
4/17/2018,P,FB,125049,1497177
4/18/2018,,FB,207171,3390907
4/18/2018,C,FB,121772,1896349
4/18/2018,P,FB,85399,1494558
4/19/2018,,FB,300392,3409041
4/19/2018,C,FB,178378,1906580
4/19/2018,P,FB,122014,1502461
4/20/2018,,FB,252910,3494492
4/20/2018,C,FB,148496,1958641
4/20/2018,P,FB,104414,1535851
4/23/2018,,FB,189725,2792316
4/23/2018,C,FB,117123,1574533
4/23/2018,P,FB,72602,1217783
4/24/2018,,FB,384764,2843280
4/24/2018,C,FB,253698,1606225
4/24/2018,P,FB,131066,1237055
4/25/2018,,FB,509089,2918088
4/25/2018,C,FB,286748,1641788
4/25/2018,P,FB,222341,1276300
4/26/2018,,FB,1036081,3075043
4/26/2018,C,FB,575425,1738979
4/26/2018,P,FB,460656,1336064
4/27/2018,,FB,402881,3153316
4/27/2018,C,FB,213779,1742856
4/27/2018,P,FB,189102,1410460
4/30/2018,,FB,251811,2959454
4/30/2018,C,FB,127540,1643280
4/30/2018,P,FB,124271,1316174
5/1/2018,,FB,212811,3020876
5/1/2018,C,FB,114962,1663580
5/1/2018,P,FB,97849,1357296
5/2/2018,,FB,353032,3068125
5/2/2018,C,FB,223786,1685433
5/2/2018,P,FB,129246,1382692
5/3/2018,,FB,265284,3089949
5/3/2018,C,FB,148027,1688220
5/3/2018,P,FB,117257,1401729
5/4/2018,,FB,264194,3119976
5/4/2018,C,FB,171008,1708979
5/4/2018,P,FB,93186,1410997
5/7/2018,,FB,231208,2990538
5/7/2018,C,FB,130040,1643528
5/7/2018,P,FB,101168,1347010
5/8/2018,,FB,147092,3042976
5/8/2018,C,FB,69984,1670038
5/8/2018,P,FB,77108,1372938
5/9/2018,,FB,386734,3065921
5/9/2018,C,FB,264979,1679556
5/9/2018,P,FB,121755,1386365
5/10/2018,,FB,371330,3102872
5/10/2018,C,FB,238299,1702090
5/10/2018,P,FB,133031,1400782
5/11/2018,,FB,376041,3128629
5/11/2018,C,FB,231750,1711828
5/11/2018,P,FB,144291,1416801
5/14/2018,,FB,271086,3027742
5/14/2018,C,FB,152066,1660752
5/14/2018,P,FB,119020,1366990
5/15/2018,,FB,260726,3143537
5/15/2018,C,FB,143668,1712456
5/15/2018,P,FB,117058,1431081
5/16/2018,,FB,157090,3202847
5/16/2018,C,FB,95241,1738077
5/16/2018,P,FB,61849,1464770
5/17/2018,,FB,194829,3219317
5/17/2018,C,FB,116496,1747416
5/17/2018,P,FB,78333,1471901
5/18/2018,,FB,162965,3251971
5/18/2018,C,FB,100814,1758217
5/18/2018,P,FB,62151,1493754
5/21/2018,,FB,195537,2432424
5/21/2018,C,FB,118237,1348276
5/21/2018,P,FB,77300,1084148
5/22/2018,,FB,137337,2506707
5/22/2018,C,FB,71981,1383366
5/22/2018,P,FB,65356,1123341
5/23/2018,,FB,164970,2549317
5/23/2018,C,FB,99732,1401771
5/23/2018,P,FB,65238,1147546
5/24/2018,,FB,117983,2568256
5/24/2018,C,FB,68730,1411352
5/24/2018,P,FB,49253,1156904
5/25/2018,,FB,133360,2582694
5/25/2018,C,FB,81920,1419243
5/25/2018,P,FB,51440,1163451
5/29/2018,,FB,177241,2505434
5/29/2018,C,FB,113555,1382613
5/29/2018,P,FB,63686,1122821
5/30/2018,,FB,167124,2550920
5/30/2018,C,FB,108803,1412324
5/30/2018,P,FB,58321,1138596
5/31/2018,,FB,409518,2574734
5/31/2018,C,FB,233769,1421372
5/31/2018,P,FB,175749,1153362
6/1/2018,,FB,286163,2635109
6/1/2018,C,FB,189404,1448737
6/1/2018,P,FB,96759,1186372
6/4/2018,,FB,245089,2576370
6/4/2018,C,FB,142371,1410497
6/4/2018,P,FB,102718,1165873
6/5/2018,,FB,182216,2622914
6/5/2018,C,FB,118396,1417525
6/5/2018,P,FB,63820,1205389
6/6/2018,,FB,296387,2652642
6/6/2018,C,FB,174622,1433522
6/6/2018,P,FB,121765,1219120
6/7/2018,,FB,268290,2674226
6/7/2018,C,FB,160513,1453381
6/7/2018,P,FB,107777,1220845
6/8/2018,,FB,176922,2712521
6/8/2018,C,FB,103735,1475811
6/8/2018,P,FB,73187,1236710
6/11/2018,,FB,213283,2627025
6/11/2018,C,FB,146342,1427282
6/11/2018,P,FB,66941,1199743
6/12/2018,,FB,225866,2674829
6/12/2018,C,FB,133989,1460705
6/12/2018,P,FB,91877,1214124
6/13/2018,,FB,176719,2732789
6/13/2018,C,FB,115201,1488364
6/13/2018,P,FB,61518,1244425
6/14/2018,,FB,331813,2758822
6/14/2018,C,FB,218853,1501782
6/14/2018,P,FB,112960,1257040
6/15/2018,,FB,241940,2797974
6/15/2018,C,FB,155183,1511691
6/15/2018,P,FB,86757,1286283
6/18/2018,,FB,279890,1994241
6/18/2018,C,FB,184728,1090918
6/18/2018,P,FB,95162,903323
6/19/2018,,FB,274485,2047820
6/19/2018,C,FB,180389,1113873
6/19/2018,P,FB,94096,933947
6/20/2018,,FB,442191,2110016
6/20/2018,C,FB,283305,1148219
6/20/2018,P,FB,158886,961797
6/21/2018,,FB,353442,2191636
6/21/2018,C,FB,254365,1187655
