,AMZN,AAPL,META,GOOGL,MSFT,NFLX
10/26/2016,0.3586265,0.1782085,0.3047415,0.273683,0.157117,0.323858
10/27/2016,0.3322425,0.182211,0.3162815,0.2554725,0.161752,0.31268
10/28/2016,0.21828,0.182627,0.30833,0.1815925,0.1735365,0.3141775
10/31/2016,0.2079465,0.181284,0.306282,0.1834215,0.1773165,0.3103475
11/1/2016,0.230417,0.20623,0.3301195,0.193346,0.186517,0.321361
11/2/2016,0.243602,0.2069895,0.3220745,0.2063975,0.19393,0.3266135
11/3/2016,0.2422875,0.223512,0.252643,0.2104445,0.2027965,0.3402195
11/4/2016,0.2464095,0.2360305,0.2409035,0.215967,0.209796,0.334841
11/7/2016,0.2287135,0.2121405,0.213446,0.193016,0.181142,0.323101
11/8/2016,0.227499,0.2085425,0.2029855,0.1781845,0.1816685,0.320415
11/9/2016,0.2325875,0.197363,0.200112,0.1799035,0.173761,0.3118745
11/10/2016,0.2717195,0.222507,0.236543,0.207467,0.194413,0.357757
11/11/2016,0.2615545,0.211496,0.2570395,0.205532,0.18743,0.3542445
11/14/2016,0.295489,0.243684,0.280105,0.243345,0.2121035,0.378288
11/15/2016,0.2576815,0.2178335,0.2501515,0.2162055,0.1932725,0.346423
11/16/2016,0.2557925,0.205625,0.244063,0.2109195,0.1864105,0.32325
11/17/2016,0.2556965,0.204169,0.2324185,0.2031765,0.178411,0.325564
11/18/2016,0.2466485,0.1962865,0.2278,0.1933795,0.1764065,0.314859
11/21/2016,0.208451,0.1773425,0.208181,0.173683,0.1726095,0.29116
11/22/2016,0.2161065,0.173144,0.211646,0.1755205,0.167173,0.283808
11/23/2016,0.2206355,0.1699485,0.2062965,0.1791345,0.1717735,0.283713
11/25/2016,0.2245455,0.169789,0.2095955,0.1819015,0.1710105,0.2875645
11/28/2016,0.2374315,0.176973,0.211248,0.18259,0.1732295,0.2852265
11/29/2016,0.2330155,0.173734,0.203718,0.18019,0.168538,0.2858485
11/30/2016,0.2322825,0.174896,0.219242,0.1908555,0.1753345,0.289539
12/1/2016,0.246198,0.186936,0.250351,0.198052,0.200358,0.3082385
12/2/2016,0.2343305,0.173214,0.226661,0.1933855,0.1872795,0.3091775
12/5/2016,0.222199,0.171506,0.2079725,0.1787725,0.1772975,0.2960095
12/6/2016,0.217226,0.160622,0.204286,0.1800445,0.1785365,0.307816
12/7/2016,0.212832,0.1567385,0.1991345,0.17277,0.1753795,0.3127125
12/8/2016,0.216743,0.164382,0.2018555,0.168883,0.176966,0.332795
12/9/2016,0.213799,0.171065,0.189915,0.1609165,0.170752,0.3249865
12/12/2016,0.228331,0.177622,0.220874,0.1723305,0.181691,0.343622
12/13/2016,0.223877,0.180431,0.2216735,0.1758395,0.182395,0.3506895
12/14/2016,0.2480825,0.188698,0.2272345,0.1809045,0.1826075,0.363447
12/15/2016,0.246709,0.178538,0.220438,0.1787195,0.184596,0.370686
12/16/2016,0.23176,0.173928,0.218347,0.1795085,0.1805375,0.403749
12/19/2016,0.225039,0.1725755,0.2202515,0.179193,0.178807,0.4763765
12/20/2016,0.22526,0.171041,0.2171615,0.183002,0.185826,0.482037
12/21/2016,0.223578,0.172024,0.2136735,0.1905605,0.1878235,0.514614
12/22/2016,0.25511,0.186864,0.242944,0.2086605,0.201272,0.5091305
12/23/2016,0.2565055,0.1797945,0.2404675,0.2104025,0.204723,0.508619
12/27/2016,0.2804005,0.200817,0.2621855,0.23779,0.2267745,0.531892
12/28/2016,0.2900505,0.20917,0.2779795,0.253613,0.2363265,0.52507
12/29/2016,0.3002145,0.214146,0.2830385,0.2556695,0.240805,0.520092
12/30/2016,0.3171945,0.220338,0.3052755,0.2769605,0.250679,0.5251215
1/3/2017,0.325899,0.2257895,0.3093165,0.2732445,0.253849,0.5267765
1/4/2017,0.309892,0.2145905,0.289107,0.2670855,0.2549685,0.5336865
1/5/2017,0.3143215,0.212169,0.2919165,0.265498,0.2512525,0.534788
1/6/2017,0.3083845,0.2096705,0.2904775,0.254677,0.250937,0.538909
