Date,MSFT,microsoft stock
9/15/2015,23,13
9/16/2015,29,9
9/17/2015,25,10
9/18/2015,21,15
9/19/2015,7,5
9/20/2015,10,7
9/21/2015,17,14
9/22/2015,21,14
9/23/2015,19,11
9/24/2015,17,8
9/25/2015,21,9
9/26/2015,10,5
9/27/2015,5,6
9/28/2015,19,10
9/29/2015,20,12
9/30/2015,18,11
10/1/2015,20,15
10/2/2015,24,12
10/3/2015,7,8
10/4/2015,6,4
10/5/2015,20,11
10/6/2015,38,20
10/7/2015,31,25
10/8/2015,28,18
10/9/2015,22,14
10/10/2015,7,7
10/11/2015,11,5
10/12/2015,14,14
10/13/2015,22,15
10/14/2015,19,14
10/15/2015,18,13
10/16/2015,20,13
10/17/2015,7,2
10/18/2015,6,6
10/19/2015,22,17
10/20/2015,23,17
10/21/2015,19,14
10/22/2015,60,23
10/23/2015,100,46
10/24/2015,27,12
10/25/2015,13,9
10/26/2015,45,21
10/27/2015,40,24
10/28/2015,41,20
10/29/2015,34,17
10/30/2015,32,16
10/31/2015,9,4
11/1/2015,7,8
11/2/2015,27,12
11/3/2015,34,16
11/4/2015,28,19
11/5/2015,25,18
11/6/2015,26,15
11/7/2015,16,7
11/8/2015,6,7
11/9/2015,24,12
11/10/2015,24,14
11/11/2015,21,14
11/12/2015,22,13
11/13/2015,22,12
11/14/2015,16,6
11/15/2015,0,5
11/16/2015,25,12
11/17/2015,16,12
11/18/2015,21,15
11/19/2015,22,14
11/20/2015,18,12
11/21/2015,3,6
11/22/2015,3,7
11/23/2015,14,14
11/24/2015,15,14
11/25/2015,16,12
11/26/2015,8,7
11/27/2015,10,7
11/28/2015,8,6
11/29/2015,2,10
11/30/2015,25,15
12/1/2015,24,16
12/2/2015,22,13
12/3/2015,18,17
12/4/2015,20,12
12/5/2015,13,13
12/6/2015,7,7
12/7/2015,14,12
12/8/2015,14,10
12/9/2015,18,12
12/10/2015,16,16
12/11/2015,17,16
12/12/2015,7,6
12/13/2015,10,10
12/14/2015,17,13
12/15/2015,19,15
12/16/2015,25,15
12/17/2015,20,13
12/18/2015,19,14
12/19/2015,5,7
12/20/2015,2,4
12/21/2015,14,12
12/22/2015,21,10
12/23/2015,17,10
12/24/2015,12,9
12/25/2015,6,9
12/26/2015,10,13
12/27/2015,4,5
12/28/2015,18,8
12/29/2015,20,10
12/30/2015,17,10
12/31/2015,14,10
1/1/2016,4,9
1/1/2016,4,9
1/2/2016,10,5
1/3/2016,5,8
1/4/2016,30,10
1/5/2016,27,18
1/6/2016,21,16
