date,amazon stock,apple stock,facebook stock,google stock,microsoft stock,netflix stock,AMZN,AAPL,META,FB,GOOGL,MSFT,NFLX
3/19/2014 0:00,15.51724138,29.96666667,33.36585366,26.14754098,50.72727273,9,19,23.54545455,95.01818182,64.68,81.13684211,49.91304348,0
3/20/2014 0:00,18.53448276,27.9,35.2195122,34.2295082,46.5,8,24.06666667,23.54545455,107.2,70.56,82.86315789,48.69565217,0
3/21/2014 0:00,16.81034483,25.83333333,32.43902439,25.19672131,73.27272727,13,15.2,21.3030303,95.01818182,69.72,80.27368421,38.95652174,0.055
3/22/2014 0:00,11.63793103,13.43333333,24.09756098,21.39344262,28.18181818,9,5.066666667,7.848484848,68.21818182,81.48,75.09473684,6.086956522,0
3/23/2014 0:00,10.77586207,8.266666667,18.53658537,16.63934426,25.36363636,15,3.8,4.484848485,69.43636364,73.08,77.68421053,14.60869565,0
3/24/2014 0:00,13.36206897,31,33.36585366,31.37704918,57.77272727,24,19,26.90909091,90.14545455,66.36,75.09473684,36.52173913,0
3/25/2014 0:00,18.53448276,29.96666667,49.12195122,33.27868852,32.40909091,23,22.8,28.03030303,93.8,64.68,78.54736842,36.52173913,0.071
3/26/2014 0:00,12.5,32.03333333,63.02439024,35.6557377,38.04545455,30,21.53333333,29.15151515,98.67272727,67.2,79.41052632,35.30434783,0
3/27/2014 0:00,17.24137931,33.06666667,51.90243902,39.45901639,62,18,24.06666667,24.66666667,102.3272727,72.24,76.82105263,56,0
3/28/2014 0:00,13.36206897,25.83333333,47.26829268,30.42622951,67.63636364,10,24.06666667,23.54545455,95.01818182,68.88,77.68421053,48.69565217,0.044
3/29/2014 0:00,11.20689655,10.33333333,25.02439024,24.24590164,60.59090909,9,11.4,6.727272727,73.09090909,76.44,75.09473684,14.60869565,0
3/30/2014 0:00,8.620689655,13.43333333,20.3902439,19.01639344,16.90909091,6,7.6,4.484848485,71.87272727,75.6,77.68421053,8.52173913,0
3/31/2014 0:00,15.0862069,26.86666667,36.14634146,35.18032787,23.95454545,17,20.26666667,22.42424242,96.23636364,68.88,82.86315789,42.60869565,0
4/1/2014 0:00,37.56097561,26,41.78571429,75.45098039,30.07692308,11.84848485,16.84210526,22,79,78.76315789,93.89010989,37.45614035,0
4/2/2014 0:00,50.36585366,28.36363636,46.66071429,82.70588235,35.30769231,18.03030303,26.94736842,20,78.09195402,79.84210526,91.78021978,41.75438596,0
4/3/2014 0:00,51.2195122,33.09090909,37.60714286,145.0980392,56.88461538,12.36363636,26.94736842,18,87.17241379,79.84210526,105.4945055,36.84210526,0.024
4/4/2014 0:00,40.12195122,26,48.05357143,130.5882353,37.92307692,12.36363636,23.57894737,18,80.81609195,83.07894737,100.2197802,39.29824561,0
4/5/2014 0:00,34.14634146,11.81818182,25.07142857,68.19607843,18.30769231,6.181818182,6.736842105,8,59.93103448,93.86842105,90.72527473,9.824561404,0
4/6/2014 0:00,33.29268293,14.18181818,21.58928571,55.1372549,46.42307692,10.81818182,6.736842105,4,65.37931034,92.78947368,90.72527473,7.368421053,0
4/7/2014 0:00,42.68292683,23.63636364,39.69642857,82.70588235,37.92307692,15.45454545,19.36842105,21,79,78.76315789,94.94505495,31.31578947,0.057
4/8/2014 0:00,38.41463415,28.36363636,39,85.60784314,39.88461538,21.12121212,26.94736842,22,80.81609195,79.84210526,91.78021978,34.38596491,0
4/9/2014 0:00,30.73170732,33.09090909,40.39285714,76.90196078,37.92307692,22.66666667,24.42105263,19,78.09195402,78.76315789,91.78021978,30.70175439,0
4/10/2014 0:00,35.85365854,35.45454545,48.75,88.50980392,22.88461538,14.93939394,23.57894737,22,87.17241379,80.92105263,97.05494505,28.24561404,0
4/11/2014 0:00,40.97560976,33.09090909,43.17857143,84.15686275,45.11538462,12.36363636,24.42105263,22,76.27586207,86.31578947,96,28.85964912,0
4/12/2014 0:00,27.31707317,14.18181818,25.76785714,53.68627451,21.57692308,12.87878788,8.421052632,6,65.37931034,97.10526316,96,13.50877193,0.037
4/13/2014 0:00,20.48780488,11.81818182,17.41071429,43.52941176,7.192307692,6.181818182,7.578947368,4,59.02298851,92.78947368,93.89010989,3.684210526,0
4/14/2014 0:00,46.09756098,28.36363636,43.875,76.90196078,39.88461538,11.33333333,22.73684211,20,77.18390805,78.76315789,94.94505495,23.33333333,0
4/15/2014 0:00,37.56097561,23.63636364,39.69642857,82.70588235,26.80769231,11.84848485,20.21052632,20,74.45977011,82,91.78021978,28.85964912,0
4/16/2014 0:00,38.41463415,23.63636364,41.08928571,89.96078431,32.69230769,12.87878788,21.89473684,20,82.63218391,82,97.05494505,28.24561404,0
4/17/2014 0:00,42.68292683,28.36363636,41.08928571,114.627451,42.5,23.6969697,26.94736842,21,88.98850575,83.07894737,101.2747253,30.0877193,0
4/18/2014 0:00,36.70731707,18.90909091,29.94642857,66.74509804,29.42307692,14.93939394,15.15789474,13,64.47126437,89.55263158,90.72527473,19.03508772,0
4/19/2014 0:00,29.02439024,14.18181818,21.58928571,40.62745098,15.03846154,2.060606061,9.263157895,5,59.02298851,98.18421053,92.83516484,7.98245614,0.061
4/20/2014 0:00,19.63414634,14.18181818,18.10714286,42.07843137,19.61538462,9.272727273,8.421052632,5,57.20689655,93.86842105,94.94505495,8.596491228,0
4/21/2014 0:00,35.85365854,30.72727273,34.82142857,71.09803922,38.57692308,42.75757576,15.15789474,23,68.10344828,87.39473684,92.83516484,24.56140351,0
4/22/2014 0:00,46.95121951,28.36363636,35.51785714,74,35.30769231,51.51515152,19.36842105,23,75.36781609,77.68421053,98.10989011,23.33333333,0
4/23/2014 0:00,41.82926829,96.90909091,58.5,72.54901961,26.80769231,27.81818182,27.78947368,63,81.72413793,76.60526316,99.16483516,32.54385965,0
